username,Source_Manga,Source_Light_Novel,Source_Original,Source_Manhwa,Source_Other,Genre_Action,Genre_Adventure,Genre_Comedy,Genre_Drama,Genre_Fantasy,Genre_Sci-Fi,Genre_Slice_of_Life,Genre_Romance,Genre_Supernatural,Genre_Suspense,Genre_Sports
niri_h,0.5251989389920424,0.22599469496021218,0.28399646330680817,0.12024756852343059,0.02475685234305924,0.4217506631299735,0.10167992926613616,0.3059239610963749,0.2413793103448276,0.20866489832007074,0.16534040671971706,0.0627763041556145,0.16268788682581786,0.1883289124668435,0.10167992926613616,0.052166224580017684
alabastas,0.630098452883263,0.1088607594936709,0.2722925457102673,0.0,0.04950773558368495,0.2967651195499297,0.3066104078762307,0.27848101265822783,0.2348804500703235,0.35724331926863573,0.05063291139240506,0.046413502109704644,0.2672292545710267,0.1209563994374121,0.02390998593530239,0.09563994374120956
Kuzuha,0.47761194029850745,0.6597014925373135,0.15870646766169155,0.0,0.009286898839137647,0.472636815920398,0.10613598673300166,0.33665008291873966,0.3466003316749585,0.24543946932006633,0.175787728026534,0.014925373134328358,0.33001658374792703,0.2902155887230514,0.1011608623548922,0.013266998341625208
yachiru5000,0.7101449275362319,0.2608695652173913,0.15942028985507245,0.0,0.0,0.2826086956521739,0.21739130434782608,0.427536231884058,0.21739130434782608,0.21739130434782608,0.07246376811594203,0.0,0.36231884057971014,0.427536231884058,0.07246376811594203,0.0
briehirt,0.43384338433843384,0.7825382538253826,0.08613861386138615,0.012601260126012601,0.03744374437443745,0.38793879387938796,0.10261026102610261,0.33033303330333036,0.21782178217821782,0.27722772277227725,0.11791179117911792,0.0315031503150315,0.3933393339333933,0.1773177317731773,0.07920792079207921,0.0
picunininha,0.6701570680628273,0.518324607329843,0.04607329842931938,0.0,0.0,0.38219895287958117,0.38219895287958117,0.5549738219895288,0.41361256544502617,0.2879581151832461,0.05235602094240838,0.0,0.7277486910994765,0.2198952879581152,0.041884816753926704,0.0
jordinario,0.4567779960707269,0.4924361493123772,0.17126719056974463,0.14833005893909626,0.0318271119842829,0.3487229862475442,0.20972495088408644,0.4258349705304519,0.268664047151277,0.2200392927308448,0.11591355599214145,0.02013752455795678,0.26031434184675833,0.112475442043222,0.10952848722986247,0.019155206286836934
EliasFlach,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
otome-lamperouge,0.5414908579465542,0.5189873417721519,0.129957805907173,0.05625879043600562,0.019127988748241915,0.26441631504922647,0.08016877637130802,0.34177215189873417,0.2616033755274262,0.19549929676511954,0.14627285513361463,0.07876230661040788,0.40646976090014064,0.22925457102672292,0.13220815752461323,0.012658227848101266
Buxexa,0.44551282051282054,0.6692307692307692,0.16805555555555557,0.05982905982905983,0.0,0.22435897435897437,0.11858974358974358,0.25854700854700857,0.32905982905982906,0.17735042735042736,0.03418803418803419,0.10042735042735043,0.23397435897435898,0.32905982905982906,0.13782051282051283,0.09401709401709402
