id,nome,generos,source
12115,Berserk: Ougon Jidai-hen III - Kourin,"Action, Adventure, Drama, Fantasy, Horror",Manga
13535,Binbougami ga! (Good Luck Girl!),"Comedy, Supernatural",Manga
22433,Break Blade (Broken Blade),Fantasy,Manga
6772,Break Blade Movie 1: Kakusei no Toki (Broken Blade),Fantasy,Manga
8514,Break Blade Movie 2: Ketsubetsu no Michi (Broken Blade 2),Fantasy,Manga
9252,Break Blade Movie 3: Kyoujin no Ato (Broken Blade 3),Fantasy,Manga
9465,Break Blade Movie 4: Sanka no Chi (Broken Blade 4),Fantasy,Manga
9724,Break Blade Movie 5: Shisen no Hate (Broken Blade 5),Fantasy,Manga
10092,Break Blade Movie 6: Doukoku no Toride (Broken Blade 6),Fantasy,Manga
1536,Busou Renkin (Buso Renkin),"Action, Supernatural",Manga
17269,Captain Herlock (Space Pirate Captain Harlock),"Action, Drama, Sci-Fi",Manga
4981,Casshern Sins,"Action, Adventure, Drama, Sci-Fi",Other
10800,Chihayafuru,"Drama, Sports",Manga
14397,Chihayafuru 2,"Drama, Sports",Manga
21797,Chuunibyou demo Koi ga Shitai! Ren Lite,Comedy,Light novel
61,D.N.Angel,"Action, Comedy, Fantasy, Romance",Manga
12549,"Dakara Boku wa, H ga Dekinai. (So, I Can't Play H!)","Comedy, Romance, Supernatural, Ecchi",Light novel
974,Dead Leaves,"Action, Comedy, Sci-Fi",Original
5177,Denpa-teki na Kanojo (Electromagnetic Girlfriend),"Mystery, Suspense",Light novel
3702,Detroit Metal City,Comedy,Manga
1313,Digimon Adventure 02,"Action, Adventure, Comedy, Fantasy",Original
2398,Digimon Adventure 02: Diablomon no Gyakushuu,"Adventure, Comedy, Drama, Sci-Fi",Original
874,Digimon Tamers,"Adventure, Comedy, Fantasy",Original
9493,Dororon Enma-kun Meeramera (Ghastly Prince Enma Burning Up),"Action, Comedy, Supernatural, Ecchi",Manga
225,Dragon Ball GT,"Action, Adventure, Comedy, Fantasy",Manga
40906,Dragon Quest: Dai no Daibouken (2020),"Action, Adventure, Fantasy",Manga
31339,Drifters,"Action, Adventure, Comedy, Fantasy",Manga
3230,Druaga no Tou: The Aegis of Uruk,"Action, Adventure, Fantasy",Game
4726,Druaga no Tou: The Sword of Uruk,"Action, Adventure, Fantasy",Game
28221,Etotama,"Action, Comedy, Fantasy",Original
17535,Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,Fantasy,Manga
18393,Fairy Tail x Rave,"Action, Adventure, Fantasy",Manga
